brand,category,current_price,href,item_id,old_price,title
Casio,Цифрові піаніно,22990.0,https://rozetka.com.ua/ua/347116131/p347116131/,347116131,0.0,Цифрове піаніно CASIO CDP-S 110 WH
Yamaha,Цифрові піаніно,35290.0,https://rozetka.com.ua/ua/348848160/p348848160/,348848160,0.0,Сценічне фортепіано Yamaha P-125 BK
Orla,Цифрові піаніно,26754.0,https://rozetka.com.ua/ua/326464444/p326464444/,326464444,0.0,Цифрове піаніно Orla Stage Studio DLS (Чорний)
Yamaha,Цифрові піаніно,52236.0,https://rozetka.com.ua/ua/341679367/p341679367/,341679367,0.0,Цифровое пианино Yamaha Arius YDP-145 (Black)
Kurzweil,Цифрові піаніно,57096.0,https://rozetka.com.ua/ua/359190633/p359190633/,359190633,0.0,Цифровое пианино Kurzweil M120 SR
Kurzweil,Цифрові піаніно,57096.0,https://rozetka.com.ua/ua/359190615/p359190615/,359190615,0.0,Цифровое пианино Kurzweil M120 WH
Kurzweil,Цифрові піаніно,49374.0,https://rozetka.com.ua/ua/359190636/p359190636/,359190636,0.0,Цифровое пианино Kurzweil M210 SR
Kurzweil,Цифрові піаніно,50544.0,https://rozetka.com.ua/ua/359190702/p359190702/,359190702,0.0,Сценическое пианино Kurzweil SP6-7
Kurzweil,Цифрові піаніно,24570.0,https://rozetka.com.ua/ua/359190711/p359190711/,359190711,0.0,Цифровое пианино Kurzweil KA-90 WH
Kurzweil,Цифрові піаніно,31590.0,https://rozetka.com.ua/ua/359190726/p359190726/,359190726,0.0,Цифровое пианино Kurzweil KA-120
Casio,Цифрові піаніно,46580.0,https://rozetka.com.ua/ua/354240195/p354240195/,354240195,0.0,Цифровое пианино CASIO Privia PX-870 BN
Yamaha,Цифрові піаніно,49990.0,https://rozetka.com.ua/ua/347116170/p347116170/,347116170,0.0,Цифрове піаніно Yamaha Arius YDP-S35 WH White
Kurzweil,Цифрові піаніно,42822.0,https://rozetka.com.ua/ua/359190735/p359190735/,359190735,0.0,Цифровое пианино Kurzweil M115 WH
Yamaha,Цифрові піаніно,69780.0,https://rozetka.com.ua/ua/348850722/p348850722/,348850722,0.0,Цифровое пианино Yamaha Clavinova CLP-725 White
Casio,Цифрові піаніно,27690.0,https://rozetka.com.ua/ua/354240231/p354240231/,354240231,0.0,Цифрове піаніно CASIO CDP-S360BKC7
Yamaha,Цифрові піаніно,12807.0,https://rozetka.com.ua/ua/285348243/p285348243/,285348243,0.0,Цифрове піаніно Yamaha NP-12 Black
Yamaha,Цифрові піаніно,73596.0,https://rozetka.com.ua/ua/331928611/p331928611/,331928611,0.0,Цифрове піаніно Yamaha P-515 White
Orla,Цифрові піаніно,21840.0,https://rozetka.com.ua/ua/326464417/p326464417/,326464417,0.0,Цифрове піаніно Orla Stage Starter DLS
Kurzweil,Цифрові піаніно,37440.0,https://rozetka.com.ua/ua/359190621/p359190621/,359190621,0.0,Сценическое пианино Kurzweil MPS110
Korg,Цифрові піаніно,31226.0,https://rozetka.com.ua/ua/362565582/p362565582/,362565582,32870.0,Цифрове піаніно KORG D1 WH (229439)
Yamaha,Цифрові піаніно,52236.0,https://rozetka.com.ua/ua/353809293/p353809293/,353809293,0.0,Цифровое пианино Yamaha Arius YDP-145 White
Kurzweil,Цифрові піаніно,32526.0,https://rozetka.com.ua/ua/359190690/p359190690/,359190690,0.0,Цифрове піаніно Kurzweil KA130 SR
Casio,Цифрові піаніно,105000.0,https://rozetka.com.ua/ua/359331393/p359331393/,359331393,0.0,Цифровое пианино CASIO PX-S7000 WE
Yamaha,Цифрові піаніно,20799.0,https://rozetka.com.ua/ua/194284805/p194284805/,194284805,0.0,Цифрове сценічне піаніно YAMAHA NP-32WH (+блок живлення)
